fund,field,source,as_of,value
JUNC,unrealizedAppr[2SPY  270528P00682690],EagleSTAR PVal,20260624,-2611.88
JUNC,unrealizedAppr[2SPY  270528P00758540],EagleSTAR PVal,20260624,5664.50
KEYX,unrealizedAppr[49338L103-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-1905.58
KRWX,unrealizedAppr[464286772-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-32386.85
KRWX,unrealizedAppr[464286772-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,9903.94
LASC,unrealizedAppr[65487K100-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-19856.08
LRNX,unrealizedAppr[86333M108-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,10947.52
MAYC,unrealizedAppr[2SPY  270430C00143730],EagleSTAR PVal,20260624,116673.43
MAYC,unrealizedAppr[2SPY  270430C00815680],EagleSTAR PVal,20260624,-26205.06
MAYC,unrealizedAppr[2SPY  270430P00646790],EagleSTAR PVal,20260624,19848.89
MAYC,unrealizedAppr[2SPY  270430P00718660],EagleSTAR PVal,20260624,1774.13
MGKX,unrealizedAppr[921910816-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,-41728.19
MNSX,unrealizedAppr[61174X109-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,5290.37
MSIX,unrealizedAppr[620076307-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,14174.02
ONTX,unrealizedAppr[683344105-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,9961.58
QJN,unrealizedAppr[2QQQ  270528C00148550],EagleSTAR PVal,20260624,-36020.06
QJN,unrealizedAppr[2QQQ  270528C00905400],EagleSTAR PVal,20260624,5995.46
QJN,unrealizedAppr[2QQQ  270528P00668470],EagleSTAR PVal,20260624,-13495.03
QJN,unrealizedAppr[2QQQ  270528P00742740],EagleSTAR PVal,20260624,19866.57
QMY,unrealizedAppr[2QQQ  270430C00136300],EagleSTAR PVal,20260624,137493.69
QMY,unrealizedAppr[2QQQ  270430C00834840],EagleSTAR PVal,20260624,-68979.40
QMY,unrealizedAppr[2QQQ  270430P00613350],EagleSTAR PVal,20260624,-196.75
QMY,unrealizedAppr[2QQQ  270430P00681500],EagleSTAR PVal,20260624,-508.14
QQJN,unrealizedAppr[2QQQ  270528C00148550],EagleSTAR PVal,20260624,-34186.38
QQJN,unrealizedAppr[2QQQ  270528C00880220],EagleSTAR PVal,20260624,6919.20
QQJN,unrealizedAppr[2QQQ  270528P00631330],EagleSTAR PVal,20260624,-11314.97
QQJN,unrealizedAppr[2QQQ  270528P00742740],EagleSTAR PVal,20260624,20176.16
QQMY,unrealizedAppr[2QQQ  270430C00133550],EagleSTAR PVal,20260624,288543.19
QQMY,unrealizedAppr[2QQQ  270430C00767900],EagleSTAR PVal,20260624,-174414.88
QQMY,unrealizedAppr[2QQQ  270430P00567580],EagleSTAR PVal,20260624,10269.51
QQMY,unrealizedAppr[2QQQ  270430P00667740],EagleSTAR PVal,20260624,-32971.64
RMBC,unrealizedAppr[750917106-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-14383.25
SCJN,unrealizedAppr[2IWM  270528C00057790],EagleSTAR PVal,20260624,31399.90
SCJN,unrealizedAppr[2IWM  270528C00345560],EagleSTAR PVal,20260624,-8045.98
SCJN,unrealizedAppr[2IWM  270528P00245610],EagleSTAR PVal,20260624,5209.90
SCJN,unrealizedAppr[2IWM  270528P00288950],EagleSTAR PVal,20260624,-11187.50
SCMY,unrealizedAppr[2IWM  270430C00056520],EagleSTAR PVal,20260624,194396.24
SCMY,unrealizedAppr[2IWM  270430C00333470],EagleSTAR PVal,20260624,-49783.47
SCMY,unrealizedAppr[2IWM  270430P00240210],EagleSTAR PVal,20260624,42168.76
SCMY,unrealizedAppr[2IWM  270430P00282600],EagleSTAR PVal,20260624,-78853.85
SIMX,unrealizedAppr[82706C108-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,4068.25
TAJX,unrealizedAppr[46429B598-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,54238.29
TPLX,unrealizedAppr[88262P102-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,10362.50
UMCX,unrealizedAppr[910873405-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,34200.20
USX,unrealizedAppr[922908769-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-14192.64
VBX,unrealizedAppr[922908751-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,5395.33
VOOX,unrealizedAppr[922908363-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-17375.02
WEBX,unrealizedAppr[500767306-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-97487.96
WX,unrealizedAppr[922042742-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-15706.41
XAGI,unrealizedAppr[500767363-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,-37177.85
XBIX,unrealizedAppr[78464A870-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,206767.36
XCOM,unrealizedAppr[46090F100-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,-143988.55
XEUR,unrealizedAppr[922042874-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,-25392.88
XHOA,unrealizedAppr[81369Y860-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,11727.72
XIWC,unrealizedAppr[464288869-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,44658.31
XKRE,unrealizedAppr[78464A698-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,72400.15
XLBX,unrealizedAppr[81369Y100-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,5752.54
XLEX,unrealizedAppr[81369Y506-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-80116.92
XLFX,unrealizedAppr[81369Y605-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,47882.05
XLIX,unrealizedAppr[81369Y704-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,61652.81
XLKX,unrealizedAppr[81369Y803-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-30365.19
XLPX,unrealizedAppr[81369Y308-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,8485.58
XLUX,unrealizedAppr[81369Y886-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,28384.99
XLVX,unrealizedAppr[81369Y209-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,15914.34
XLYX,unrealizedAppr[81369Y407-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-10229.85
XPAV,unrealizedAppr[37954Y673-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,13238.95
XSEM,unrealizedAppr[92189F676-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,3177.97
XTAI,unrealizedAppr[46434G772-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,34044.50
XVO,unrealizedAppr[922908629-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,7830.85
XVUG,unrealizedAppr[922908736-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-47004.84
XW,unrealizedAppr[921909768-TRS-07/05/27-L-MREX],EagleSTAR PVal,20260624,-14271.52
ACLZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ACLZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ACLZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ACLZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ACLZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ACLZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-6398.41
ACLZ,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.30
ACLZ,totAssets,EagleSTAR TrialBalance,20260624,243931.56
ACLZ,totLiabs,EagleSTAR TrialBalance,20260624,77.30
ACLZ,netAssets,EagleSTAR TrialBalance,20260624,243854.26
ACLZ,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ACLZ,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ACLZ,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ACLZ,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ACLZ,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ACLZ,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ACMM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ACMM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ACMM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ACMM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ACMM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ACMM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,12293.53
ACMM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,105.76
ACMM,totAssets,EagleSTAR TrialBalance,20260624,262673.65
ACMM,totLiabs,EagleSTAR TrialBalance,20260624,105.76
ACMM,netAssets,EagleSTAR TrialBalance,20260624,262567.89
ACMM,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ACMM,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ACMM,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ACMM,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ACMM,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ACMM,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ADVX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ADVX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ADVX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ADVX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ADVX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ADVX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
ADVX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
ADVX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
ADVX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ADVX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ADVX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ADVX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ADVX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ADVX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
AMAA,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
AMAA,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
AMAA,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
AMAA,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
AMAA,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
AMAA,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
AMAA,totAssets,EagleSTAR TrialBalance,20260624,250000.00
AMAA,netAssets,EagleSTAR TrialBalance,20260624,250000.00
AMAA,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
AMAA,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
AMAA,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
AMAA,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
AMAA,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
AMAA,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
AMDC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
AMDC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
AMDC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
AMDC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
AMDC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
AMDC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
AMDC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
AMDC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
AMDC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
AMDC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
AMDC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
AMDC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
AMDC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
AMDC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
APPC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
APPC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
APPC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
APPC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
APPC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
APPC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
APPC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
APPC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
APPC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
APPC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
APPC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
APPC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
APPC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
APPC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ASMX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ASMX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ASMX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ASMX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ASMX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
ASMX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
ASMX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
ASMX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ASMX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ASMX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ASMX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ASMZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
ASMZ,totAssets,EagleSTAR TrialBalance,20260624,250000.00
ASMZ,netAssets,EagleSTAR TrialBalance,20260624,250000.00
ASMZ,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ASMZ,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMZ,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ASMZ,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ASMZ,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ASMZ,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ASTT,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ASTT,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ASTT,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ASTT,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ASTT,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ASTT,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
ASTT,totAssets,EagleSTAR TrialBalance,20260624,250000.00
ASTT,netAssets,EagleSTAR TrialBalance,20260624,250000.00
ASTT,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
ASTT,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ASTT,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ASTT,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ASTT,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
ASTT,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
AV,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
AV,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
AV,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
AV,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,58452.40
AV,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
AV,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,63166.65
AV,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,316.10
AV,totAssets,EagleSTAR TrialBalance,20260624,1424130.54
AV,totLiabs,EagleSTAR TrialBalance,20260624,316.10
AV,netAssets,EagleSTAR TrialBalance,20260624,1423814.44
AV,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
AV,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
AV,mon2Sales,EagleSTAR TrialBalance,20260624,1174519.00
AV,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
AV,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
AV,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
AVGC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
AVGC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
AVGC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
AVGC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
AVGC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
AVGC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
AVGC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
AVGC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
AVGC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
AVGC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
AVGC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
AVGC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
AVGC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
AVGC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BAY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BAY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
BAY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BAY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,164451.64
BAY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
BAY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-42509.32
BAY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,262.18
BAY,totAssets,EagleSTAR TrialBalance,20260624,1971026.94
BAY,totLiabs,EagleSTAR TrialBalance,20260624,262.18
BAY,netAssets,EagleSTAR TrialBalance,20260624,1970764.76
BAY,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
BAY,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BAY,mon2Sales,EagleSTAR TrialBalance,20260624,1722615.00
BAY,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BAY,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
BAY,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BESX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BESX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
BESX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BESX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
BESX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
BESX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
BESX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
BESX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
BESX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
BESX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BESX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
BESX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BESX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
BESX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BLCK,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BLCK,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
BLCK,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BLCK,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,36477.60
BLCK,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
BLCK,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-165783.36
BLCK,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,305.52
BLCK,totAssets,EagleSTAR TrialBalance,20260624,1260682.41
BLCK,totLiabs,EagleSTAR TrialBalance,20260624,305.52
BLCK,netAssets,EagleSTAR TrialBalance,20260624,1260376.89
BLCK,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
BLCK,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BLCK,mon2Sales,EagleSTAR TrialBalance,20260624,1264791.00
BLCK,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BLCK,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
BLCK,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BREW,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BREW,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
